engine_type,fuel_type,population_density,cylinder,transmission_type,gear_box,length,width,height,gross_weight,is_speed_alert,is_claim
0,2,4990,3,1,5,3445,1515,1475,1185,1,0
0,2,27003,3,1,5,3445,1515,1475,1185,1,0
0,2,4076,3,1,5,3445,1515,1475,1185,1,0
1,0,21622,4,0,5,3995,1735,1515,1335,1,0
2,0,34738,3,0,5,3731,1579,1490,1155,1,0
3,1,13051,4,0,6,4300,1790,1635,1720,1,0
4,1,6112,4,1,5,3990,1755,1523,1490,1,0
5,0,8794,4,1,5,3845,1735,1530,1335,1,0
3,1,6112,4,0,6,4300,1790,1635,1720,1,0
6,0,17804,4,0,5,3990,1745,1500,1410,1,0
0,2,34738,3,1,5,3445,1515,1475,1185,1,0
7,2,4076,3,1,5,3655,1620,1675,1340,1,0
5,0,4076,4,1,5,3845,1735,1530,1335,1,1
5,0,73430,4,1,5,3845,1735,1530,1335,1,0
0,2,6108,3,1,5,3445,1515,1475,1185,1,0
3,1,34738,4,0,6,4300,1790,1635,1720,1,0
0,2,27003,3,1,5,3445,1515,1475,1185,1,0
8,1,17804,4,1,5,3995,1695,1501,1051,1,0
3,1,8794,4,0,6,4300,1790,1635,1720,1,0
5,0,34738,4,1,5,3845,1735,1530,1335,1,1
3,1,6108,4,0,6,4300,1790,1635,1720,1,0
0,2,21622,3,1,5,3445,1515,1475,1185,1,1
9,2,27003,4,1,5,3675,1475,1825,1510,1,0
3,1,27003,4,0,6,4300,1790,1635,1720,1,1
0,2,8794,3,1,5,3445,1515,1475,1185,1,1
5,0,4076,4,1,5,3845,1735,1530,1335,1,0
0,2,6108,3,1,5,3445,1515,1475,1185,1,0
6,0,27003,4,0,5,3990,1745,1500,1410,1,0
5,0,27003,4,1,5,3845,1735,1530,1335,1,0
5,0,8794,4,1,5,3845,1735,1530,1335,1,1
7,2,34791,3,1,5,3655,1620,1675,1340,1,0
6,0,4076,4,0,5,3990,1745,1500,1410,1,0
0,2,4990,3,1,5,3445,1515,1475,1185,1,0
5,0,73430,4,1,5,3845,1735,1530,1335,1,0
0,2,27003,3,1,5,3445,1515,1475,1185,1,0
3,1,8794,4,0,6,4300,1790,1635,1720,1,0
0,2,34738,3,1,5,3445,1515,1475,1185,1,0
7,2,5410,3,1,5,3655,1620,1675,1340,1,0
5,0,8794,4,1,5,3845,1735,1530,1335,1,0
0,2,4076,3,1,5,3445,1515,1475,1185,1,0
3,1,8794,4,0,6,4300,1790,1635,1720,1,0
0,2,4076,3,1,5,3445,1515,1475,1185,1,0
4,1,4076,4,1,5,3990,1755,1523,1490,1,0
5,0,8794,4,1,5,3845,1735,1530,1335,1,0
5,0,8794,4,1,5,3845,1735,1530,1335,1,0
0,2,4076,3,1,5,3445,1515,1475,1185,1,0
3,1,8794,4,0,6,4300,1790,1635,1720,1,0
